size,f(x),time
700,C -O3 Blas,0.211031
700,C -O3 Naive,0.458687
700,C -O3 Better,0.127852
700,C -O3 Blas,0.213172
700,C -O3 Naive,0.455406
700,C -O3 Better,0.128232
700,C -O3 Blas,0.212034
700,C -O3 Naive,0.491211
700,C -O3 Better,0.138313
700,C -O3 Blas,0.212599
800,C -O3 Naive,0.812124
800,C -O3 Better,0.217146
800,C -O3 Blas,0.326856
800,C -O3 Naive,0.790957
800,C -O3 Better,0.216146
800,C -O3 Blas,0.351272
800,C -O3 Naive,0.925904
800,C -O3 Better,0.217966
800,C -O3 Blas,0.355947
800,C -O3 Naive,0.788509
800,C -O3 Better,0.213958
800,C -O3 Blas,0.345646
800,C -O3 Naive,0.721534
800,C -O3 Better,0.220614
800,C -O3 Blas,0.352896
800,C -O3 Naive,0.764381
800,C -O3 Better,0.214423
800,C -O3 Blas,0.355703
800,C -O3 Naive,0.776732
800,C -O3 Better,0.215147
800,C -O3 Blas,0.360934
800,C -O3 Naive,0.761783
800,C -O3 Better,0.220529
800,C -O3 Blas,0.351413
800,C -O3 Naive,0.821794
800,C -O3 Better,0.217637
800,C -O3 Blas,0.345168
800,C -O3 Naive,0.913437
800,C -O3 Better,0.231318
800,C -O3 Blas,0.342952
900,C -O3 Naive,1.565651
900,C -O3 Better,0.339135
900,C -O3 Blas,0.484596
900,C -O3 Naive,1.392145
900,C -O3 Better,0.340066
900,C -O3 Blas,0.505475
900,C -O3 Naive,1.401623
900,C -O3 Better,0.347362
900,C -O3 Blas,0.497627
900,C -O3 Naive,1.350102
900,C -O3 Better,0.34014
900,C -O3 Blas,0.578717
900,C -O3 Naive,1.432538
900,C -O3 Better,0.336715
900,C -O3 Blas,0.508992
900,C -O3 Naive,1.391632
900,C -O3 Better,0.341281
900,C -O3 Blas,0.499415
900,C -O3 Naive,1.373517
900,C -O3 Better,0.345778
900,C -O3 Blas,0.502881
900,C -O3 Naive,1.419192
900,C -O3 Better,0.33357
900,C -O3 Blas,0.509333
900,C -O3 Naive,1.537826
900,C -O3 Better,0.345089
900,C -O3 Blas,0.500908
900,C -O3 Naive,1.381786
900,C -O3 Better,0.339614
900,C -O3 Blas,0.498609
1000,C -O3 Naive,2.360502
1000,C -O3 Better,0.479942
1000,C -O3 Blas,0.68072
1000,C -O3 Naive,2.349999
1000,C -O3 Better,0.495434
1000,C -O3 Blas,0.693785
1000,C -O3 Naive,2.29303
1000,C -O3 Better,0.47929
1000,C -O3 Blas,0.694566
1000,C -O3 Naive,2.328887
1000,C -O3 Better,0.483145
1000,C -O3 Blas,0.692413
1000,C -O3 Naive,2.32755
1000,C -O3 Better,0.491857
1000,C -O3 Blas,0.683395
1000,C -O3 Naive,2.345331
1000,C -O3 Better,0.480245
1000,C -O3 Blas,0.695016
1000,C -O3 Naive,2.27743
1000,C -O3 Better,0.493505
1000,C -O3 Blas,0.681641
1000,C -O3 Naive,2.42941
1000,C -O3 Better,0.477321
1000,C -O3 Blas,0.694238
1000,C -O3 Naive,2.243041
1000,C -O3 Better,0.494383
1000,C -O3 Blas,0.696865
1000,C -O3 Naive,2.307027
1000,C -O3 Better,0.479586
1000,C -O3 Blas,0.748087
